,count,mean,std,min,25%,50%,75%,max
Age,6711.0,58.21740426165996,13.073219273507553,36.0,47.0,59.0,68.0,80.0
Education,6711.0,3.4589479958277454,1.2735086057149858,1.0,3.0,4.0,4.0,5.0
Household income,6711.0,8.765906720309939,4.4374312103163644,1.0,5.0,8.0,14.0,15.0
Energy,6711.0,2039.1355982714945,928.826102590408,14.0,1396.0,1897.0,2521.5,8500.0
Protein,6711.0,78.06023245417987,40.448244062324754,5.397605346934028e-79,50.955,70.89999999999999,98.04999999999998,545.2
Carbohydrate,6711.0,240.33695276411885,116.88285661145875,1.0,160.68,222.52999999999997,297.53999999999996,1222.34
Sugars,6711.0,102.64672776039339,71.51943838750441,0.5,54.9,87.97,132.82,980.92
Fiber,6711.0,17.007197139025436,10.794952609656843,5.397605346934028e-79,9.4,14.799999999999999,22.1,103.39999999999999
Fat,6711.0,81.22784383847416,45.59850876209028,5.397605346934028e-79,49.36,73.36,103.45499999999998,405.21999999999997
Saturated fatty acids,6711.0,26.068276560870164,16.48984657197626,5.397605346934028e-79,14.617999999999999,22.690999999999995,34.1415,149.14600000000002
Monounsaturated fatty acids,6711.0,28.47411965429895,16.8722412077123,5.397605346934028e-79,16.7115,25.372999999999998,36.492,159.69899999999998
Polyunsaturated fatty acids,6711.0,19.060563701385778,12.47846825754758,5.397605346934028e-79,10.396999999999998,16.473,24.5235,101.54299999999998
Cholesterol,6711.0,302.15124422589776,243.91979683024832,5.397605346934028e-79,129.0,233.0,415.0,2968.0
Female,6711.0,0.5142303680524511,0.4998346969447936,0.0,0.0,1.0,1.0,1.0
Wloss,6711.0,0.276560870213083,0.44733071961367415,0.0,0.0,0.0,1.0,1.0
